---,Row Name,Name,StarSystemName,PosX,PosY,SpectralType,Luminosity,SubType,PrimarySlot,Cluster,ClusterOverlay,ClusterConstellation
530,530,530,Thestria,290.849,79.919,K,V,5,1,"(Id=""MWFactionAsset:DavionKurita_1"")",None,None
531,531,531,Barlow's End,304.496,63.029,K,V,7,1,"(Id=""MWFactionAsset:DavionKurita_1"")",None,None
532,532,532,Simferopol,307.187,188.339,K,V,8,1,"(Id="""")",None,None
533,533,533,Leamington,353.609,-91.035,G,V,8,2,"(Id="""")",None,None
534,534,534,Zvolen,-243.532,49.063,G,V,3,2,"(Id=""MWFactionAsset:TheJunkyard"")",None,None
535,535,535,Niihau,-237.585,-79.925,M,V,4,1,"(Id=""MWFactionAsset:TamarindAbbey"")",None,None
536,536,536,Krievci,-225.402,227.168,F,V,8,4,"(Id="""")",None,None
537,537,537,Eutin,-222.818,150.133,G,V,3,3,"(Id=""MWFactionAsset:RepairSystem_22"")",None,None
538,538,538,Senftenberg,-208.842,7.961,G,V,5,2,"(Id="""")",None,None
539,539,539,Sterling,-191.544,-70.907,M,V,4,4,"(Id=""MWFactionAsset:StewartCommonality"")",None,None
540,540,540,Gienah,-183.072,-12.971,K,IV,0,2,"(Id=""MWFactionAsset:SteinerMarikBorder"")",None,None
541,541,541,Ciotat,-154.626,74.397,G,V,3,3,"(Id=""MWFactionAsset:RebeliousLyranTerritory"")",None,None
542,542,542,Helm,-133.614,-58.208,K,IV,4,4,"(Id=""MWFactionAsset:StewartCommonality"")",None,None
543,543,543,Lancaster (FWL),-115.774,-88.191,F,V,4,4,"(Id="""")",None,None
544,544,544,Ganshoren,-43.428,158.15,K,V,8,1,"(Id=""MWFactionAsset:LyranStrongholds"")",None,None
545,545,545,Komephoros,-34.132,91.971,F,VI,0,5,"(Id="""")",None,None
546,546,546,Phalan,-19.908,134.372,F,V,2,4,"(Id="""")",None,None
547,547,547,Old Kentucky,2.063,-141.685,G,V,3,4,"(Id="""")",None,None
548,548,548,Buckminster,17.582,154.653,A,III,9,6,"(Id=""MWFactionAsset:StoryCluster4"")",None,None
549,549,549,Vorarlberg,24.296,303.682,G,V,5,2,"(Id=""MWFactionAsset:RepairSystem_17"")",/Game/Campaign/CampaignArcs/BorderChanges/_common/FactionBorderMeshes/SafezoneTempFolder/SafezoneCollision/Safezone_17_Blob.Safezone_17_Blob,/Game/Campaign/CampaignArcs/BorderChanges/_common/FactionBorderMeshes/SafezoneTempFolder/Safezone_17.Safezone_17
550,550,550,Imalda,29.976,-240.203,K,V,6,1,"(Id=""MWFactionAsset:SianCommonality"")",None,None
551,551,551,Hexare,31.017,-233.165,K,V,7,1,"(Id="""")",None,None
552,552,552,Altais,37.222,109.811,F,IV,2,1,"(Id=""MWFactionAsset:RogueSystems"")",None,None
553,553,553,Toffen,41.613,221.742,K,V,6,1,"(Id="""")",None,None
554,554,554,Shinonoi,79.871,53.979,G,V,3,1,"(Id="""")",None,None
555,555,555,Chichibu,90.467,74.914,K,V,6,1,"(Id="""")",None,None
556,556,556,Tok Do,94.821,178.989,K,V,1,4,"(Id="""")",None,None
557,557,557,Yamarovka,111.669,274.473,K,V,3,2,"(Id="""")",None,None
558,558,558,Ashkum,111.924,-101.146,G,V,8,2,"(Id=""MWFactionAsset:A2M1_Cluster"")",None,None
559,559,559,Ulan Batar,126.566,-74.405,M,V,4,1,"(Id=""MWFactionAsset:ShippingRoute"")",None,None
560,560,560,Fellanin II,132.086,32.779,F,V,3,2,"(Id="""")",None,None
561,561,561,Bicester,148.628,227.948,F,V,3,3,"(Id=""MWFactionAsset:RepairSystem_23"")",None,None
562,562,562,Donenac,200.327,88.88,K,V,9,1,"(Id=""MWFactionAsset:DavionKurita_1"")",None,None
563,563,563,Iijima,211.18,196.151,G,V,3,1,"(Id="""")",None,None
564,564,564,Harpster,213.251,82.416,F,V,3,4,"(Id=""MWFactionAsset:DavionKurita_1"")",None,None
565,565,565,Deshler,215.065,74.397,K,V,7,1,"(Id="""")",None,None
566,566,566,Blandinsville,227.989,-32.874,G,V,7,2,"(Id="""")",None,None
567,567,567,Sauk City,276.586,-3.15,K,V,0,2,"(Id=""MWFactionAsset:IndustrialMiningCompany"")",None,None
568,568,568,Ramona,329.056,-38.305,G,V,2,2,"(Id=""MWFactionAsset:InfernosWake"")",None,None
569,569,569,Westerstede,-207.554,170.044,M,V,1,1,"(Id=""MWFactionAsset:RepairSystem_22"")",None,None
570,570,570,Enkoping,-136.785,103.607,M,V,0,1,"(Id="""")",None,None
571,571,571,Tiber (FWL),-123.801,-147.432,G,V,5,4,"(Id="""")",None,None
572,572,572,Ariel,-115.773,-98.529,K,V,9,1,"(Id="""")",None,None
573,573,573,Campertown,-5.436,-159.326,M,V,0,1,"(Id="""")",None,None
574,574,574,Tsukude,20.153,119.374,F,IV,1,2,"(Id=""MWFactionAsset:RogueSystems"")",None,None
575,575,575,Maladar,108.822,-247.735,K,V,9,1,"(Id=""MWFactionAsset:DavionBorder"")",None,None
576,576,576,Tecumseh,139.32,-105.01,K,V,1,2,"(Id="""")",None,None
577,577,577,Loyalty,-226.682,-144.558,K,V,2,2,"(Id="""")",None,None
578,578,578,Bainsville,-141.443,-83.285,G,V,9,3,"(Id=""MWFactionAsset:StewartCommonality"")",None,None
579,579,579,Bedeque,-124.593,-77.338,G,V,4,2,"(Id=""MWFactionAsset:StewartCommonality"")",None,None
580,580,580,Veckholm,-116.071,124.024,M,V,3,1,"(Id=""MWFactionAsset:LyranStrongholds"")",None,None
581,581,581,Algorab,-114.838,13.767,A,VI,1,5,"(Id=""MWFactionAsset:RepairSystem_15"")",None,None
582,582,582,Angell II,-98.231,-84.059,G,V,5,2,"(Id="""")",None,None
583,583,583,Benfled,-72.905,260.773,G,V,4,3,"(Id=""MWFactionAsset:SteinerBorder"")",None,None
584,584,584,Ling,-43.954,-121.068,G,V,7,2,"(Id="""")",None,None
585,585,585,Propus,-12.415,-183.807,G,V,0,3,"(Id="""")",None,None
586,586,586,Vega,-3.63,106.615,A,V,0,7,"(Id="""")",None,None
587,587,587,Shimosuwa,46.002,135.405,G,V,2,2,"(Id=""MWFactionAsset:RogueSystems"")",None,None
588,588,588,Poznan,62.546,-81.213,G,III,6,4,"(Id="""")",None,None
589,589,589,Minakuchi,63.844,116.53,G,V,3,2,"(Id=""MWFactionAsset:RogueSystems"")",None,None
590,590,590,Menkib,75.462,-128.993,M,V,2,1,"(Id="""")",None,None
591,591,591,Uravan,75.828,-263.872,G,V,3,2,"(Id="""")",None,None
592,592,592,Otho,78.418,176.289,G,V,8,2,"(Id="""")",None,None
593,593,593,Capricorn III,87.616,-186.38,F,V,9,3,"(Id=""MWFactionAsset:RashpurOwensInc"")",None,None
594,594,594,Mersa Matruh,130.855,168.849,F,V,8,4,"(Id=""MWFactionAsset:RepairSystem_18"")",None,None
595,595,595,Johnsondale,160.78,-23.051,G,V,6,2,"(Id=""MWFactionAsset:KuritaDavion"")",None,None
596,596,596,Barlow's Folly (Cussar 2864-),173.189,66.905,M,V,4,1,"(Id="""")",None,None
597,597,597,Leiston,174.475,234.667,F,V,3,3,"(Id="""")",None,None
598,598,598,Irurzun,187.05,97.538,G,V,4,5,"(Id="""")",None,None
599,599,599,Hun Ho,250.211,136.693,F,V,5,5,"(Id="""")",None,None
600,600,600,Alkes,-114.781,-30.813,G,V,1,3,"(Id="""")",None,None
601,601,601,New Hope,-113.194,-32.874,K,V,1,2,"(Id=""MWFactionAsset:RepairSystem_27"")",None,None
602,602,602,Tania Borealis,-106.755,-52.519,G,V,1,4,"(Id="""")",None,None
603,603,603,Semenyih,-74.451,-161.607,K,V,9,1,"(Id=""MWFactionAsset:MarikLiaoBorder"")",None,None
604,604,604,Castrovia,13.692,-252.594,F,V,6,4,"(Id=""MWFactionAsset:SianCommonality"")",None,None
605,605,605,New Oslo,15.246,386.145,A,V,9,1,"(Id="""")",None,None
606,606,606,Cordiagr,24.296,-191.043,M,V,3,1,"(Id="""")",None,None
607,607,607,Homestead,57.896,-283.618,F,V,2,3,"(Id="""")",None,None
608,608,608,Moravian,109.081,-132.368,K,V,1,2,"(Id=""MWFactionAsset:A2M1_Cluster"")",None,None
609,609,609,Silkeborg,181.454,185.813,G,V,5,3,"(Id="""")",None,None
610,610,610,Beecher,183.783,-50.201,K,V,5,1,"(Id=""MWFactionAsset:ShippingRoute"")",None,None
611,611,611,Brusett,245.563,-328.119,G,V,9,3,"(Id=""MWFactionAsset:TaurianCorridor"")",None,None
612,612,612,Elidere IV,279.947,75.955,F,V,3,4,"(Id=""MWFactionAsset:DavionKurita_1"")",None,None
613,613,613,Tarkio,317.42,-0.046,F,V,5,4,"(Id=""MWFactionAsset:InfernosWake"")",None,None
614,614,614,Covington,360.339,-149.712,G,V,6,3,"(Id="""")",None,None
615,615,615,Alterf,-203.986,-154.867,F,V,8,4,"(Id=""MWFactionAsset:RepairSystem_21"")",None,None
616,616,616,Kandersteg,-120.727,227.948,F,V,0,4,"(Id="""")",None,None
617,617,617,Salur,-80.14,-195.503,G,V,3,3,"(Id=""MWFactionAsset:MarikLiaoBorder"")",None,None
618,618,618,Itabaiana,127.168,307.557,G,V,8,4,"(Id=""MWFactionAsset:KuritanBadlands"")",None,None
619,619,619,Osmus Saar,149.4,173.921,G,V,7,2,"(Id="""")",None,None
620,620,620,Avawatz,164.91,-29.514,F,V,0,4,"(Id="""")",None,None
621,621,621,Faleolo,-188.224,-200.359,F,V,0,4,"(Id=""MWFactionAsset:FWLCommercialHub"")",None,None
622,622,622,New Westin,38.253,-241.987,G,V,3,3,"(Id=""MWFactionAsset:SianCommonality"")",None,None
623,623,623,Bastian,297.261,-160.021,F,V,0,4,"(Id=""MWFactionAsset:RepairSystem_20"")",None,None
624,624,624,Home,-278.619,-163.985,G,V,3,3,"(Id="""")",None,None
625,625,625,Sargasso,-216.871,268.268,F,V,6,4,"(Id="""")",None,None
626,626,626,Altorra,-2.852,-263.495,G,V,3,4,"(Id="""")",None,None
627,627,627,Spica,92.538,-237.625,G,V,6,2,"(Id=""MWFactionAsset:DavionBorder"")",None,None
628,628,628,Petrolia,308.115,-70.36,G,V,6,3,"(Id="""")",None,None
629,629,629,Tomans,-50.931,222.258,K,V,3,2,"(Id=""MWFactionAsset:SteinerBorder"")",None,None
630,630,630,Alula Borealis,-258.995,-54.076,F,V,5,4,"(Id=""MWFactionAsset:TamarindAbbey"")",None,None
631,631,631,Megrez,-211.22,-41.924,K,V,5,1,"(Id=""MWFactionAsset:SteinerMarikBorder"")",None,None
632,632,632,Loeches,-74.451,-201.153,K,V,7,1,"(Id=""MWFactionAsset:MarikLiaoBorder"")",None,None
633,633,633,Allerton,263.404,7.187,K,V,2,2,"(Id=""MWFactionAsset:IndustrialMiningCompany"")",None,None
634,634,634,Galax,283.632,-124.547,F,III,5,4,"(Id=""MWFactionAsset:RepairSystem_20"")",None,None
635,635,635,Wetumpka,527.319,-164.48,K,V,7,1,"(Id="""")",None,None
636,636,636,Daniels,124.593,-196.495,M,V,4,1,"(Id=""MWFactionAsset:RashpurOwensInc"")",None,None
637,637,637,Peacock,136.476,183.999,F,V,0,4,"(Id="""")",None,None
638,638,638,Sverdlovsk,341.208,184.257,F,V,7,2,"(Id="""")",None,None
639,639,639,Merak,-119.439,-62.342,G,V,0,4,"(Id=""MWFactionAsset:StewartCommonality"")",None,None
640,640,640,Vipaava,61.258,370.634,M,V,5,1,"(Id=""MWFactionAsset:DroughtWorlds"")",None,None
641,641,641,Manapire,82.45,-292.929,K,V,9,1,"(Id="""")",None,None
642,642,642,Kakada,-290.316,-124.637,F,V,2,4,"(Id="""")",None,None
643,643,643,Trellisane,-251.263,-55.107,G,III,7,3,"(Id=""MWFactionAsset:TamarindAbbey"")",None,None
644,644,644,Ngake,-173.952,-198.575,G,V,2,3,"(Id=""MWFactionAsset:FWLCommercialHub"")",None,None
645,645,645,New Aragon,69.535,-88.191,K,V,2,3,"(Id="""")",None,None
646,646,646,Capac,310.184,-56.394,G,V,9,3,"(Id="""")",None,None
647,647,647,Gulkana,353.609,-177.861,A,V,5,5,"(Id="""")",None,None
648,648,648,Hongqiao,-227.178,-232.669,G,V,2,1,"(Id=""MWFactionAsset:FWLCommercialHub"")",None,None
649,649,649,Porrima,-113.987,139.279,K,V,3,2,"(Id=""MWFactionAsset:LyranStrongholds"")",None,None
650,650,650,Avigait,153.018,-275.094,M,V,6,1,"(Id=""MWFactionAsset:DavionBorder"")",/Game/Campaign/CampaignArcs/Regions/8_2/8_2.8_2,None
651,651,651,Huron,315.102,-71.907,G,V,4,3,"(Id="""")",None,None
652,652,652,Diass,-171.376,-256.954,F,V,2,4,"(Id=""MWFactionAsset:FWLInterior"")",None,None
653,653,653,Matheran,-65.658,-170.427,G,V,9,2,"(Id=""MWFactionAsset:MarikLiaoBorder"")",None,None
654,654,654,Asgard,126.654,266.198,K,V,9,4,"(Id="""")",None,None
655,655,655,Corella,142.165,-251.304,K,V,2,2,"(Id=""MWFactionAsset:DavionBorder"")",None,None
656,656,656,Kamenz,-311.151,-4.36,G,V,2,2,"(Id=""MWFactionAsset:TheJunkyard"")",None,None
657,657,657,Cavanaugh II,-307.125,-52.558,M,II,9,4,"(Id=""MWFactionAsset:TheJunkyard"")",None,None
658,658,658,Mackenzie,-275.547,-207.893,M,VI,0,6,"(Id="""")",None,None
659,659,659,Mualang,96.414,265.681,F,V,3,3,"(Id="""")",None,None
660,660,660,Okains,241.171,-268.649,M,V,5,1,"(Id="""")",None,None
661,661,661,Acamar,39.543,-38.565,K,V,7,8,"(Id="""")",None,None
662,662,662,Sorunda,-65.144,-122.852,M,V,3,6,"(Id="""")",None,None
663,663,663,Iknogoro,-50.158,-248.43,K,V,7,1,"(Id="""")",None,None
664,664,664,Biota,-44.735,271.632,G,V,6,2,"(Id=""MWFactionAsset:SteinerBorder"")",None,None
665,665,665,Nizina,309.671,-228.311,K,V,1,2,"(Id="""")",None,None
666,666,666,Loongana,-294.677,-109.37,G,V,0,5,"(Id=""MWFactionAsset:FWLShippingRoute"")",None,None
667,667,667,Rexburg,-199.524,-69.844,M,V,4,1,"(Id="""")",None,None
668,668,668,Milnerton,-85.306,-232.471,G,V,8,2,"(Id=""MWFactionAsset:MarikLiaoBorder"")",None,None
669,669,669,Purvo,59.693,-258.832,G,V,3,3,"(Id="""")",None,None
670,670,670,Anaheim,299.331,-311.764,G,V,3,3,"(Id="""")",None,None
671,671,671,Wilkes,-212.21,-273.508,M,V,4,1,"(Id="""")",None,None
672,672,672,Apollo,-129.641,432.458,G,V,7,3,"(Id=""MWFactionAsset:PirateCluster"")",None,None
673,673,673,Galatea,-53.775,34.077,F,II,8,6,"(Id=""MWFactionAsset:AgriculturalBelt"")",None,None
674,674,674,Anegasaki,-49.375,-216.713,M,V,9,1,"(Id=""MWFactionAsset:MarikLiaoBorder"")",None,None
675,675,675,Andurien,-41.335,-315.245,G,V,0,5,"(Id=""MWFactionAsset:DutchyOfAndurien"")",None,None
676,676,676,Antietam,330.86,-137.026,G,V,0,4,"(Id=""MWFactionAsset:RepairSystem_20"")",None,None
677,677,677,Ardoz,46.26,245.78,F,V,7,3,"(Id=""MWFactionAsset:LowerClassWorlds"")",None,None
678,678,678,Alrescha,84.52,-49.416,A,V,3,3,"(Id="""")",None,None
679,679,679,Alcyone,129.758,-197.583,M,V,2,1,"(Id="""")",None,None
680,680,680,Dahar IV,279.421,20.112,M,V,8,4,"(Id=""MWFactionAsset:IndustrialMiningCompany"")",None,None
681,681,681,Chilung,-123.603,-247.142,F,V,8,2,"(Id="""")",None,None
682,682,682,Redfield,140.093,-212.747,K,IV,5,3,"(Id="""")",None,None
683,683,683,Taurus,191.381,-391.003,G,V,3,4,"(Id=""MWFactionAsset:TaurianCorridor"")",None,None
684,684,684,Noatak,330.86,-213.841,F,V,4,3,"(Id="""")",None,None
685,685,685,Kutludugun,-331.448,-190.549,K,V,3,2,"(Id=""MWFactionAsset:RepairSystem_14"")",None,None
686,686,686,Biuque,-223.115,245.005,M,V,2,1,"(Id="""")",None,None
687,687,687,Crimond,-68.521,230.614,F,II,8,4,"(Id=""MWFactionAsset:SteinerBorder"")",None,None
688,688,688,Calseraigne,-8.281,-367.667,M,V,7,1,"(Id="""")",None,None
689,689,689,Angol,87.88,-38.822,M,VI,0,3,"(Id=""MWFactionAsset:DavionBorderlands"")",None,None
690,690,690,Skandia,22.742,251.468,G,V,6,2,"(Id="""")",None,None
691,691,691,Molokai,-256.219,-194.215,F,V,4,4,"(Id="""")",None,None
692,692,692,Gallatin,-160.771,-74.494,M,V,8,1,"(Id=""MWFactionAsset:StewartCommonality"")",None,None
693,693,693,Sophie's World,-102.591,-131.87,K,V,8,1,"(Id="""")",None,None
694,694,694,Notwina,294.932,-193.916,K,V,5,1,"(Id="""")",None,None
695,695,695,Sanda,322.633,194.804,K,V,5,1,"(Id="""")",None,None
696,696,696,Clipperton,-248.983,-204.524,M,V,1,3,"(Id=""MWFactionAsset:DavionBorderlands"")",None,None
697,697,697,Rasalhague,39.275,389.766,K,V,4,6,"(Id=""MWFactionAsset:DropshipGraveyard"")",None,None
698,698,698,Taga,88.919,-207.395,F,V,4,3,"(Id="""")",None,None
699,699,699,Havdhem,183.269,185.545,F,V,9,3,"(Id="""")",None,None
700,700,700,Ingenstrem,317.163,-225.435,F,V,4,4,"(Id="""")",None,None
701,701,701,Barlaston,-123.603,-266.57,F,V,0,4,"(Id=""MWFactionAsset:FWLInterior"")",None,None
702,702,702,Pilkhua,33.593,206.231,F,V,6,4,"(Id=""MWFactionAsset:LowerClassWorlds"")",None,None
703,703,703,El Dorado,266.495,-145.054,G,V,0,2,"(Id=""MWFactionAsset:RepairSystem_20"")",None,None
704,704,704,Jiddah,-279.411,-236.041,G,V,9,2,"(Id="""")",None,None
705,705,705,Shiro III,-28.186,-292.636,F,V,5,3,"(Id="""")",None,None
706,706,706,Tamar,-15.391,314.863,G,V,6,3,"(Id="""")",None,None
707,707,707,New Rhodes III,102.361,-15.815,M,V,9,1,"(Id="""")",None,None
708,708,708,Aconcagua,-275.03,-189.625,K,V,0,2,"(Id="""")",None,None
709,709,709,Ashburton,-263.453,-139.898,G,V,0,3,"(Id="""")",None,None
710,710,710,Utrecht,23.514,236.473,G,V,6,2,"(Id=""MWFactionAsset:LowerClassWorlds"")",None,None
711,711,711,Braunton,129.24,237.243,F,V,9,4,"(Id=""MWFactionAsset:RepairSystem_23"")",None,None
712,712,712,Eromanga,-283.873,-118.489,F,V,7,4,"(Id="""")",None,None
713,713,713,Clinton,-165.923,53.979,F,V,7,2,"(Id=""MWFactionAsset:RebeliousLyranTerritory"")",/Game/Campaign/CampaignArcs/Regions/11_2/11_2.11_2,None
714,714,714,Xinyang,113.214,224.941,F,V,0,2,"(Id="""")",None,None
715,715,715,Kaiyuh,362.4,-217.705,K,V,8,1,"(Id="""")",None,None
716,716,716,Colfax,-232.927,-49.158,F,V,4,4,"(Id=""MWFactionAsset:SteinerMarikBorder"")",None,None
717,717,717,Guangzho,-109.825,-285.4,K,V,5,1,"(Id="""")",None,None
718,718,718,New Bergen,19.382,402.946,G,V,1,3,"(Id=""MWFactionAsset:DropshipGraveyard"")",None,None
719,719,719,Keihoku,307.702,212.076,G,V,7,2,"(Id="""")",None,None
720,720,720,Shasta,-218.199,-102.703,G,V,1,3,"(Id=""MWFactionAsset:RepairSystem_13"")",None,None
721,721,721,Calpaca,-20.166,-214.831,M,V,8,1,"(Id="""")",None,None
722,722,722,Maule,31.79,245.262,K,V,8,1,"(Id=""MWFactionAsset:LowerClassWorlds"")",None,None
723,723,723,Holmsbu,57.674,441.912,G,V,7,2,"(Id=""MWFactionAsset:DropshipGraveyard"")",None,None
724,724,724,Menke,90.726,-330.895,G,V,9,4,"(Id="""")",None,None
725,725,725,Cotocallao,144.753,-299.672,G,V,1,3,"(Id=""MWFactionAsset:DavionBorder"")",None,None
726,726,726,Verde,349.99,12.619,G,V,7,2,"(Id=""MWFactionAsset:InfernosWake"")",None,None
727,727,727,Rzhishchev,-294.477,-222.067,G,V,8,3,"(Id="""")",None,None
728,728,728,Suk II,-29.214,256.116,G,V,5,2,"(Id=""MWFactionAsset:SteinerBorder"")",None,None
729,729,729,Kasdach,20.928,-313.054,F,V,4,4,"(Id=""MWFactionAsset:RepairSystem_11"")",None,None
730,730,730,Islamabad,321.562,-254.18,M,V,7,1,"(Id="""")",None,None
731,731,731,Duran,-263.156,144.71,G,V,4,2,"(Id="""")",None,None
732,732,732,Hindmarsh,-195.462,-271.724,K,V,0,2,"(Id="""")",None,None
733,733,733,Ayn Tarma,-172.466,-302.746,K,V,6,1,"(Id=""MWFactionAsset:FWLInterior"")",None,None
734,734,734,Nihal,43.933,-310.771,F,V,9,4,"(Id=""MWFactionAsset:SianCommonality"")",None,None
735,735,735,Chebanse,225.145,-102.928,F,V,5,3,"(Id="""")",None,None
736,736,736,New Syrtis,231.063,-296.899,K,IV,5,4,"(Id="""")",None,None
737,737,737,Nullarbor,-158.491,-250.314,K,V,3,2,"(Id=""MWFactionAsset:FWLInterior"")",None,None
738,738,738,Westerhand,-5.436,-276.084,G,V,3,2,"(Id="""")",None,None
739,739,739,Chagos,-263.651,-226.229,F,V,3,4,"(Id="""")",None,None
740,740,740,Donegal,-182.405,159.288,F,V,0,4,"(Id=""MWFactionAsset:RepairSystem_22"")",None,None
741,741,741,Cameron (FWL),-157.697,-196.793,G,V,9,3,"(Id="""")",None,None
742,742,742,Grumium,-4.923,186.846,F,V,1,2,"(Id=""MWFactionAsset:StoryCluster4"")",/Game/Campaign/CampaignArcs/Regions/StoryCluster_04/StoryCluster_4_STM.StoryCluster_4_STM,None
743,743,743,Tanh Linh,90.211,232.338,M,V,7,1,"(Id="""")",None,None
744,744,744,Alsek,315.617,-238.123,F,V,0,3,"(Id="""")",None,None
745,745,745,Willowick,328.284,-74.494,G,V,5,2,"(Id="""")",None,None
746,746,746,Simpson Desert,-271.591,-99.305,G,V,9,4,"(Id="""")",None,None
747,747,747,Pella II,-30.504,-227.021,G,V,6,2,"(Id="""")",None,None
748,748,748,New Samarkand,359.452,248.589,F,IV,0,6,"(Id=""MWFactionAsset:RepairSystem_30"")",None,None
749,749,749,Danais,-148.084,-40.367,G,V,5,1,"(Id=""MWFactionAsset:StewartCommonality"")",None,None
750,750,750,Kanata,-96.154,-307.865,M,V,5,1,"(Id=""MWFactionAsset:DutchyOfAndurien"")",None,None
751,751,751,Cusset,-49.375,283.778,G,V,0,2,"(Id=""MWFactionAsset:SteinerBorder"")",None,None
752,752,752,Paradise,-239.908,-126.401,G,V,7,3,"(Id="""")",None,None
753,753,753,Fujidera,-76.782,-225.435,K,V,7,1,"(Id=""MWFactionAsset:MarikLiaoBorder"")",None,None
754,754,754,Benjamin,123.977,134.529,M,V,1,3,"(Id=""MWFactionAsset:RepairSystem_18"")",None,None
755,755,755,Dyfed,126.138,213.725,K,V,2,2,"(Id="""")",None,None
756,756,756,Jaipur,175.508,-280.246,F,V,1,4,"(Id=""MWFactionAsset:DavionBorder"")",None,None
757,757,757,Zebebelgenubi,-52.221,47.517,A,IV,3,6,"(Id=""MWFactionAsset:AgriculturalBelt"")",None,None
758,758,758,Raphael,45.232,-314.88,K,V,8,1,"(Id="""")",None,None
759,759,759,Trondheim (DC),72.64,405.242,G,V,5,3,"(Id="""")",None,None
760,760,760,Port Arthur,131.569,255.343,G,V,8,3,"(Id=""MWFactionAsset:RepairSystem_23"")",None,None
761,761,761,Colorado,344.568,-199.071,K,V,4,2,"(Id="""")",None,None
762,762,762,Ipswich,-48.342,-232.969,F,V,6,4,"(Id="""")",None,None
763,763,763,Tapachula,-260.579,-212.549,G,V,4,1,"(Id="""")",None,None
764,764,764,Tania Australis,-140.651,-64.669,K,V,3,1,"(Id=""MWFactionAsset:StewartCommonality"")",/Game/Campaign/CampaignArcs/Regions/11_1/11_1.11_1,None
765,765,765,Calloway VI,-58.168,-199.567,F,V,5,6,"(Id=""MWFactionAsset:MarikLiaoBorder"")",/Game/Campaign/CampaignArcs/Regions/9_1/9_1.9_1,None
766,766,766,Babuyan,87.88,223.29,F,V,3,3,"(Id="""")",None,None
767,767,767,Numenor,283.82,-107.59,G,V,2,1,"(Id=""MWFactionAsset:RepairSystem_20"")",None,None
768,768,768,Chalouba,-277.927,-141.685,K,V,9,1,"(Id="""")",None,None
769,769,769,Philadelphia,191.536,208.818,G,V,7,2,"(Id="""")",None,None
770,770,770,Minderoo,-255.625,155.048,F,V,1,4,"(Id="""")",None,None
771,771,771,Delavan,269.864,-95.167,K,V,1,2,"(Id=""MWFactionAsset:RepairSystem_20"")",None,None
772,772,772,Richvale,-275.843,175.209,F,V,7,4,"(Id="""")",None,None
773,773,773,Isabela,-270.887,-242.484,K,V,8,1,"(Id="""")",None,None
774,774,774,Palladaine,-3.109,-287.978,K,V,4,1,"(Id="""")",None,None
775,775,775,Nox,13.177,239.832,K,V,2,4,"(Id=""MWFactionAsset:LowerClassWorlds"")",None,None
776,776,776,Luthien,167.621,250.493,G,III,0,4,"(Id=""MWFactionAsset:RepairSystem_23"")",/Game/Campaign/CampaignArcs/BorderChanges/_common/FactionBorderMeshes/SafezoneTempFolder/SafezoneSection2/SafezoneCollision/Safezone4_Collision.Safezone4_Collision,/Game/Campaign/CampaignArcs/BorderChanges/_common/FactionBorderMeshes/SafezoneTempFolder/SafezoneSection2/Safezone4.Safezone4
777,777,777,Maldonado,212.22,320.996,F,V,9,3,"(Id=""MWFactionAsset:KuritanBadlands"")",None,None
778,778,778,Unity,224.628,287.396,F,V,1,3,"(Id=""MWFactionAsset:KuritanBadlands"")",None,None
779,779,779,Pobeda,-244.82,189.173,G,V,9,3,"(Id="""")",None,None
780,780,780,Cirebon,-147.094,-263.197,G,V,5,3,"(Id=""MWFactionAsset:FWLInterior"")",None,None
781,781,781,Hiratsuka,-258.499,-253.388,K,V,2,2,"(Id="""")",None,None
782,782,782,Lengkong,-239.073,-259.035,M,V,7,1,"(Id="""")",None,None
783,783,783,Ionus,-183.568,-152.784,K,V,6,3,"(Id=""MWFactionAsset:RepairSystem_21"")",None,None
784,784,784,Bellatrix,54.279,-351.609,F,V,3,3,"(Id="""")",None,None
785,785,785,Thule,93.055,455.16,A,V,8,2,"(Id="""")",None,None
786,786,786,Wernke (Talon),248.407,-230.887,G,V,0,3,"(Id="""")",None,None
787,787,787,Delphos,319.751,-52.004,F,V,0,3,"(Id="""")",None,None
788,788,788,Chirala,385.662,240.871,F,V,6,3,"(Id=""MWFactionAsset:RepairSystem_30"")",/Game/Campaign/CampaignArcs/Regions/EndgameClusters/30_Collision.30_Collision,/Game/Campaign/CampaignArcs/Regions/EndgameClusters/Safezone_30.Safezone_30
789,789,789,Ulysses,413.325,-17.623,M,V,8,1,"(Id=""MWFactionAsset:RepairSystem_2"")",None,None
790,790,790,Gannett,-165.429,-60.539,G,V,0,3,"(Id="""")",None,None
791,791,791,Karbala,-23.783,196.668,F,V,4,4,"(Id="""")",None,None
792,792,792,Quittacas,157.935,-219.787,K,V,6,1,"(Id=""MWFactionAsset:StoryCluster2"")",None,None
793,793,793,Loric,-230.35,-38.822,K,IV,8,2,"(Id=""MWFactionAsset:SteinerMarikBorder"")",None,None
794,794,794,Ford,-191.298,-29.514,G,V,5,3,"(Id=""MWFactionAsset:SteinerMarikBorder"")",None,None
795,795,795,Al Jubaylah,-183.766,-281.832,K,V,8,1,"(Id="""")",None,None
796,796,796,Grunwald,-97.456,203.129,M,V,5,1,"(Id="""")",None,None
797,797,797,Frondas,-17.846,-247.735,G,V,3,3,"(Id="""")",None,None
798,798,798,Sakai,109.339,205.973,K,V,7,1,"(Id="""")",None,None
799,799,799,Shibukawa,116.575,183.226,K,V,1,2,"(Id="""")",None,None
