,StarSystemName,PosX,PosY,SpectralType,Luminosity,SubType,PrimarySlot
552,Cephei,688.652,-80.35,K,V,1,2
553,Ceram,-518.535,171.094,M,V,0,1
554,Cerberus,475.838,190.466,M,V,1,1
555,Cerignola,-328.01,-286.324,G,V,8,3
556,Cerillos,-369.902,-81.213,G,III,0,3
557,Cerulean,412.809,-80.698,F,V,6,2
558,Ceuta,-538.748,199.654,K,V,7,1
559,Chaffee (DP),275.835,-1758.012,F,V,7,3
560,Chaffee (LC),-95.395,82.416,F,V,6,3
561,Chagos,-263.651,-226.229,F,V,3,4
562,Chahar,-198.534,340.642,G,IV,0,2
563,Chaine Cluster (7),-235.003,568.796,K,V,5,1
564,Chakachamna,299.848,-181.231,F,V,8,3
565,Chalouba,-277.927,-141.685,K,V,9,1
566,Chamdo,10.332,-152.286,M,V,8,1
567,Champadanga,-381.806,216.314,K,V,2,2
568,Chandler,47.037,207.265,F,V,6,4
569,Chanute,463.735,23.474,M,V,3,1
570,Chapineria,292.088,392.083,K,V,1,2
571,Chapultepec,-240.361,343.486,F,V,5,3
572,Chara (Pacifica),-29.214,6.414,G,V,2,3
573,Charity,315.099,263.937,F,V,6,4
574,Charleston,409.646,-389.514,F,V,6,4
575,Charleywood,275.718,-21.722,G,V,5,2
576,Chateau,-75.747,395.445,F,V,8,2
577,Chatham,180.94,250.168,G,V,2,3
578,Chaumont,360.585,17.213,K,V,2,2
579,Chaville,17.398,46.931,M,V,9,1
580,Chebanse,225.145,-102.928,F,V,5,3
581,Chengdu,-29.575,-170.358,G,V,0,2
582,Chenier,580.569,-41.409,K,V,5,1
583,Chennai,10.046,-374.191,M,V,8,1
584,Cheriton,244.78,328.533,F,V,5,3
585,Chertan,-74.708,-15.558,A,V,3,1
586,Chesterton,115.619,-71.037,G,V,9,5
587,Chhaprauli,-346.127,219.417,F,V,9,3
588,Chiavenna,-380.518,88.355,K,V,3,1
589,Chichibu,90.467,74.914,K,V,6,1
590,Chillon,227.851,-242.96,K,V,4,1
591,Chilung,-123.603,-247.142,F,V,8,2
592,Chimpaw,45.162,154.465,M,V,3,1
593,Chinmen Tao,341.208,215.537,K,V,9,1
594,Chirala,385.662,240.871,F,V,6,3
595,Chirikof,335.799,-233.463,F,IV,8,4
596,Chita,-489.077,290.188,K,V,0,2
597,Chitwan,18.749,-172.42,M,V,1,1
598,Choex,-454.406,-44.649,F,V,4,3
599,Cholame,202.397,-31.328,F,V,2,4
600,Chorley,332.933,379.684,F,V,7,3
601,Chota,186.624,-21.95,G,V,7,3
602,Choudrant,336.035,56.042,F,V,7,4
603,Chouli,169.583,-287.756,G,V,6,2
604,Christiania,17.531,366.005,F,V,7,3
605,Chukchi III,-180.694,90.425,G,V,5,3
606,Chupadero,227.989,379.415,F,V,5,4
607,Ciampino,-331.454,166.945,F,V,5,4
608,Cilvituk,-493.401,225.665,F,V,3,3
609,Cimeron,362.649,83.967,G,V,0,3
610,Ciotat,-154.626,74.397,G,V,3,3
611,Circe,-122.574,1614.831,G,Ia,2,1
612,Circinus,-388.555,-66.824,G,IV,5,4
613,Cirebon,-147.094,-263.197,G,V,5,3
614,Claxton,15.497,-264.185,M,V,1,1
615,Clayborne II (Green Stone 3025-),-405.913,-79.963,K,V,6,1
616,Claybrooke,-51.972,-369.147,F,IV,2,6
617,Clearfield,263.651,327.489,K,V,3,1
618,Clermont,-209.941,352.538,K,V,0,2
619,Clinton,-165.923,53.979,F,V,7,2
620,Clipperton,-248.983,-204.524,M,V,1,3
621,Clovis,180.166,3.056,M,V,5,1
622,Cogdell,521.902,-141.512,G,V,5,4
623,Cohagen,372.222,-316.226,F,V,7,3
624,Cohay,610.039,11.331,G,V,2,1
625,Colchester,305.27,-13.488,F,V,1,4
626,Colchis,458.018,-498.371,K,V,8,1
627,Coldbrook,-421.851,126.358,G,V,2,3
628,Cole Harbour,-121.025,-292.438,K,V,1,2
629,Colfax,-232.927,-49.158,F,V,4,4
630,Colia,357.494,66.905,M,V,3,1
631,Colinas,-157.399,107.998,G,V,8,3
632,Colleen,-146.566,1837.816,G,V,7,3
633,Colmar,-66.184,299.293,K,V,8,1
634,Coloma,283.383,-87.36,K,V,2,1
635,Colorado,344.568,-199.071,K,V,4,2
636,Columbine,74.945,-345.955,K,V,0,3
637,Conakry,-316.194,-131.667,F,V,5,2
638,Concord,-146.598,-27.967,M,V,0,1
639,Conley's Patch,-220.211,205.816,F,V,3,4
640,Connaught,-54.292,-40.367,M,V,2,3
641,Conquista,-9.579,-307.101,G,V,8,1
642,Conroe,377.137,91.456,F,V,3,4
643,Constance,100.031,429.051,F,V,2,4
644,Conwy,77.664,-71.325,M,V,7,1
645,Cooperland,567.72,-266.091,G,V,8,3
646,Coopertown,-301.667,-455.141,G,V,8,2
647,Cor Caroli,-62.301,15.463,A,VI,0,2
648,Coraines,489.546,196.5,F,V,4,4
649,Corbeanca,-350.486,-235.839,F,V,5,2
650,Cordiagr,24.296,-191.043,M,V,3,1
651,Corella,142.165,-251.304,K,V,2,2
652,Corey,21.443,-136.227,M,V,1,3
653,Corfu,63.565,322.264,G,V,6,3
654,Coriscana,-187.928,-109.174,K,V,4,1
655,Cork,525.584,66.453,F,V,5,4
656,Corodiz,135.703,-374.901,M,V,5,1
657,Coromodir,92.158,-466.511,G,V,3,6
658,Corridan IV,-38.014,121.453,G,V,4,4
659,Corsica Nueva,194.121,227.165,F,V,6,3
660,Corydon,216.61,-38.822,M,V,3,1
661,Cosenza,325.957,161.51,K,V,9,1
662,Cotocallao,144.753,-299.672,G,V,1,3
663,Coudoux,180.696,382.752,G,V,9,2
664,Courcellete,141.65,-310.772,F,V,6,3
665,Courchevel,95.114,344.785,G,V,9,3
666,Courtney,283.732,4.847,G,V,6,3
667,Coventry,-257.862,221.263,F,V,4,3
668,Covington,360.339,-149.712,G,V,6,3
669,Coyle,636.799,170.182,G,V,2,1
670,Cranston,-211.47,-336.729,M,V,3,1
671,Crawford,205.865,-276.17,K,V,1,1
672,Crawford's Delight,-209.067,-519.376,K,V,7,1
673,Cree,-189.457,-247.497,F,V,0,4
674,Crellacor,-82.874,469.854,K,V,5,1
675,Cresson,-269.816,-483.923,G,V,0,4
676,Crestoblus,452.156,102.526,F,V,5,4
677,Crevedia,-128.468,160.226,F,V,4,3
678,Crichton,589.252,226.772,M,V,6,1
679,Crimond,-68.521,230.614,F,II,8,4
680,Crofton,522.914,-78.108,F,V,9,3
681,Cronulla,-33.091,-251.008,K,V,3,2
682,Crossing,253.313,47.262,G,V,4,4
683,Cruz Alta,-436.915,20.632,G,V,5,2
684,Cryfder,-153.289,493.887,F,V,5,3
685,Csesztreg,-69.286,391.313,M,V,0,4
686,Csomad,427.282,-292.14,G,V,7,3
687,Culmia,544.081,240.757,M,V,8,1
688,Cumberland,207.037,-264.979,G,V,2,2
689,Cumbres,-154.031,201.831,G,V,7,2
690,Curaumilla,-330.364,-119.181,K,V,3,1
691,Cursa,-51.456,-348.632,M,V,8,1
692,Cusset,-49.375,283.778,G,V,0,2
693,Custozza,-544.644,355.231,G,V,6,2
694,Cygnus,-7.084,-500.136,M,V,5,1
695,Cylene,105.978,25.03,F,V,9,2
696,Cyrenaica,156.561,273.932,M,V,6,1
697,Cyrton,364.13,-343.269,G,V,1,4
698,Czarvowo,-317.48,61.477,K,V,4,1
699,Córdoba,-689.778,1152.488,K,V,3,2
700,Dabih,59.968,83.504,F,IV,0,1
701,Dagda (Clan),-132.266,1603.856,K,V,4,3
702,Dagda (LC),-225.943,101.604,F,V,4,3
703,Dahar IV,279.421,20.112,M,V,8,4
704,Dainmar Majoris,-62.198,-484.197,F,V,1,4
705,Dalcour,-384.879,-99.555,K,V,9,1
706,Dalian,-57.584,-267.289,F,V,2,4
707,Dalkeith,-26.4,157.711,F,V,9,5
708,Dalmantia,221.365,166.525,M,V,5,1
709,Dalton,-115.774,-229.895,K,V,1,5
710,Damevang,345.59,64.322,K,V,6,1
711,Damian,72.894,459.292,M,V,5,1
712,Danais,-148.084,-40.367,G,V,5,1
713,Daneshmand,-72.122,-181.031,M,V,9,1
714,Dania,943.977,203.809,K,V,2,2
715,Daniels,124.593,-196.495,M,V,4,1
716,Danli,667.385,273.411,F,V,0,3
717,Dansur,-74.923,-315.105,G,V,7,2
718,Dante,427.86,175.122,K,V,4,2
719,Danxian,-347.412,17.271,G,V,8,2
720,Danzig,-642.943,847.98,M,V,0,1
721,Daol,146.776,-335.259,M,V,4,1
722,Dar-es-Salaam,-194.866,13.391,F,VI,1,1
723,Darius,65.124,204.678,F,V,9,3
724,Darwendale,311.732,-262.9,F,V,9,3
725,"Davetal (Davetal II, III)",271.495,-446.983,F,V,5,2
726,David,140.085,19.234,F,IV,8,2
727,Davisville,481.307,-27.443,G,V,9,2
728,Dawn,29.194,375.286,M,V,9,1
729,Dayr Khuna,-113.791,-196.495,G,V,8,3
730,Ddraig,750.889,151.599,K,V,8,1
731,De Berry,446.666,62.502,G,V,6,2
732,DeWitt,257.715,-21.763,G,V,9,2
733,Death's Gaze Cluster,487.197,-1708.993,K,V,6,1
734,Decatur,54.151,-336.258,G,V,5,4
735,Declan II,362.876,-20.348,G,V,3,2
736,Decus,44.448,-251.599,F,V,7,4
737,Defiance,424.953,-106.593,G,V,0,7
738,Dehgolan,5.425,198.997,M,V,8,1
739,Deia,-176.045,303.685,G,V,5,6
740,Delacambre,539.708,4.872,G,V,0,4
741,Delacruz,372.478,113.17,K,V,7,1
742,Delagoa,-431.528,360.363,K,V,8,1
743,Delavan,269.864,-95.167,K,V,1,2
744,Delios,-16.762,1804.928,G,III,6,2
745,Delitzsch,326.461,146.804,F,V,6,3
746,Dell,-61.279,330.822,K,V,3,4
747,Delos IV,613.405,59.926,F,V,3,4
748,Delphos,319.751,-52.004,F,V,0,3
749,Demeter,91.497,-69.589,M,V,2,3
750,Denbar,69.007,-235.248,M,IV,2,8
751,Deneb Algedi,41.097,26.058,F,VI,6,2
752,Deneb Kaitos,64.617,-12.971,K,III,2,3
753,Denebola,-37.843,-1.621,K,V,0,5
754,Denizli,-113.005,347.374,K,V,8,1
755,Derby,-488.478,275.331,M,V,7,1
756,Derf,-130.839,394.669,K,V,9,1
757,Des Arc,496.566,-83.542,M,V,9,1
758,Deschenes,-87.116,-297.592,G,V,4,3
759,Deshler,215.065,74.397,K,V,7,1
760,Desolate Plains,207.01,-361.318,F,V,4,4
761,Detroit,19.15,-452.551,G,V,1,3
762,Devil's Breath,509.764,226.297,G,V,9,3
763,Devil's Rock,-36.193,-15.302,G,V,1,2
764,Devin,-110.627,333.924,M,V,7,1
765,Deweidewd,-107.279,283.248,K,V,3,1
766,Dhaulgiri,137.384,-279.604,F,V,4,3
767,Diamantina,-314.895,-99.56,M,V,6,1
768,Diass,-171.376,-256.954,F,V,2,4
769,Diboll,475.359,67.163,M,V,9,1
770,Dicallus,342.136,-373.166,G,V,2,3
771,Dichell,-267.351,514.625,K,V,3,1
772,Dickinson,-146.598,-112.742,F,V,8,4
773,Dicon,20.144,-325.241,M,V,5,1
774,Die Moot,284.326,-302.741,F,V,0,3
775,Diedre's Den (Iolas 3025-),-417.614,-62.53,K,V,3,1
776,Diefenbaker,198.255,-341.499,G,V,9,3
777,Dieron,12.201,14.909,G,V,3,4
778,Dieudonné,-75.224,-25.895,F,V,3,2
779,Diik,531.014,-464.283,G,V,7,3
780,Dili,-55,-299.3,M,V,6,1
781,Dindatari,438.548,159.677,K,V,4,1
782,Diosd,-2.343,230.527,F,V,1,4
783,Dirk's Gulf,228.925,-145.657,F,V,2,4
784,Dirkel,-110.19,522.42,K,V,4,1
785,Dixie,-253.841,-21.246,M,V,9,1
786,Dneiper,465.051,244.219,F,V,4,3
787,Dnepropetrovsk,299.331,168.746,G,V,6,2
788,Dobson,204.201,26.318,F,V,7,4
789,Doggerbank,-994.668,-280.913,K,V,5,1
790,Dol,232.279,-159.966,M,V,7,1
791,Domain,-32.828,248.12,G,V,0,3
792,Domeyko,679.846,229.542,G,V,1,4
793,Dompaire,-74.717,300.067,G,V,5,3
794,Donegal,-182.405,159.288,F,V,0,4
795,Donenac,200.327,88.88,K,V,9,1
796,Doneval II,198.781,8.744,K,V,3,2
797,Dorian's Tears,-1129.019,411.589,M,V,3,1
798,Dormandaine,462.322,100.73,F,V,4,5
799,Dorpat,-731.932,884.287,G,V,6,3
800,Dortmund,-733.282,782.477,G,V,4,3
801,Dothan,433.735,-134.245,G,V,4,1
802,Dove,33.666,178.549,G,V,0,3
803,Dover,132.602,201.313,G,V,2,4
804,Dowles,117.001,-207.462,K,V,8,1
805,Drachenfeld,1182.589,-105.931,M,V,2,1
806,Dralkig,516.624,113.395,F,V,7,3
807,Drask's Den,-86.539,489.182,G,V,9,2
808,Dreadlord,566.112,151.565,F,V,7,4
809,Dresden,-202.799,81.307,F,V,5,2
810,Drienfontein,271.153,-290.356,G,V,9,3
811,Dromini VI,-20.939,66.122,K,IV,8,6
812,Drosendorf,-258.995,41.312,G,V,6,2
813,Drozan,31.267,-369.942,F,V,2,5
814,Drusibacken,-123.305,-123.644,G,V,4,2
815,Du Lac,344.556,-162.65,F,V,5,3
816,Duantia,-339.997,57.921,G,V,0,3
817,Dubhe,-70.576,-16.073,F,V,0,7
818,Dukambia,-181.99,213.726,G,V,2,2
819,Dumaring,79.605,223.291,F,V,7,4
820,Dumassas,428.872,-321.741,F,V,7,4
821,Dunianshire,-77.807,-498.048,M,V,0,6
822,Dunkerque,272.432,-196.85,K,V,3,1
823,Dunklewälderdunklerflüssenschattenwelt (Bob 2822+),440.689,243.842,M,V,2,1
824,Durabon,-279.793,-441.329,F,V,4,3
825,Duran,-263.156,144.71,G,V,4,2
826,Dustball,-104.483,266.199,A,V,9,6
827,Duxford,569.558,12.634,G,V,7,2
828,Duxfort,203.509,350.887,K,V,5,1
829,Dyev,5.683,40.797,K,III,8,1
830,Dyfed,126.138,213.725,K,V,2,2
831,Dì-fang,-9.65,-297.47,M,V,9,1
832,Eagle Rest,-244.105,-549.928,K,V,0,2
833,Eaglesham,-33.349,134.632,M,V,3,1
834,Early Dawn,-92.969,-428.575,K,V,7,1
835,Eaton,-80.915,112.658,K,V,0,2
836,Ebensburg,237.278,301.385,K,V,0,3
837,Ebro,563.759,-129.592,K,V,9,1
838,Echo,287.43,369.625,G,V,1,3
839,Edasich,-96.423,120.664,F,IV,6,3
840,Eden,-133.451,1613.747,F,Ib,4,1
841,Edirne (Brank 3130+),-462.404,290.917,K,V,2,2
842,Edmondson,-338.693,-102.927,K,V,5,1
843,Edwards,132.086,-32.361,F,V,5,3
844,Egress,67.969,-370.238,G,V,3,5
845,Eguilles,37.214,233.116,G,V,7,2
846,Eidsfoss,-153.536,58.886,M,V,9,1
847,Eigerland,572.236,187.147,M,V,1,1
848,Eilenburg,-220.24,19.339,F,V,8,3
849,Eion,-357.161,-122.853,M,V,0,1
850,Ejeda,734.348,140.461,G,V,2,2
851,El Dorado,266.495,-145.054,G,V,0,2
852,El Giza,-68.861,-274.002,F,V,2,4
853,El Kerak,279.153,-251.206,K,V,3,2
854,Elba,-418.221,302.556,M,V,0,1
855,Elbar,126.654,-8.057,K,V,3,1
856,Elbing (FWL),-65.529,-70.625,G,V,7,3
857,Elbing (HL),-831.863,819.224,M,V,2,1
858,Electra,215.323,-322.371,F,V,3,4
859,Elektrougli,-113.194,-184.105,G,V,1,4
860,Eleusis,-166.519,-341.994,K,II,4,6
861,Elgin (Chisholm 2878-),1.54,-50.974,G,V,1,2
862,Elidere IV,279.947,75.955,F,V,3,4
863,Elissa,-39.048,483.083,F,V,1,9
864,Elix,45.701,71.019,F,V,5,4
865,Ellengurg,-297.549,259.478,K,V,0,2
866,Ellijay,-334.034,7.708,K,V,2,2
867,Ellsworth,-210.428,-239.708,K,V,5,1
868,Elnath,18.6,-127.209,K,V,7,1
869,Eltanin,-1.917,99.345,K,IV,5,3
870,Elume,-372.48,331.077,F,V,6,3
871,Emar,325.039,344.714,K,V,9,1
872,Emerson,171.566,-115.567,F,V,7,4
873,Emporia,256.663,-6.504,K,V,5,1
874,Emris IV,-88.934,-149.415,G,V,3,4
875,Enchi,294.417,-287.78,K,V,4,1
876,Enders Cluster (10),-447.223,69.227,F,V,8,2
877,Engadin,19.896,336.507,K,V,1,2
878,Engadine,-351.28,354.868,M,V,0,6
879,Enif,429.094,288.686,F,V,8,4
880,Enkoping,-136.785,103.607,M,V,0,1
881,Enkra,119.287,-410.733,K,V,6,1
882,Entalun,335.777,-0.572,G,V,0,4
883,Enzesfled,-380.51,128.941,K,V,8,1
884,Eom,-18.038,-191.788,G,V,6,3
885,Epsilon,-316.183,-59.498,M,V,4,1
886,Epsilon Eridani,18.35,-21.248,K,IV,2,4
887,Epsilon Indi,29.203,-15.558,F,V,9,1
888,Erdvynn,-453.557,-21.346,K,V,9,1
889,Erewhon,-185.854,445.857,A,V,7,5
890,Erod's Escape,483.634,-501.888,G,V,0,5
891,Eromanga,-283.873,-118.489,F,V,7,4
892,Errai,52.512,3.478,M,IV,6,2
893,Eschenberg,-149.407,181.546,G,V,8,3
894,Escobas,-216.878,-126.417,F,V,2,4
895,Espakeh,301.911,341.683,F,V,9,2
896,Espia,-16.91,-389.694,K,V,3,1
897,Esteros,-157.657,268.588,M,V,7,1
898,Estuan,396.52,-306.719,G,V,5,2
899,Esztergom,-237.219,-96.946,F,V,5,4
900,Etiler,-378.23,198.997,G,V,1,4
901,Euclid,349.466,-70.614,K,V,3,2
902,Euschelus,280.794,-389.434,K,V,6,1
903,Eustatius,458.045,-198.575,F,V,8,4
904,Eutin,-222.818,150.133,G,V,3,3
905,Evansville,293.644,-36.233,G,V,3,2
906,Evciler,-95.137,356.673,K,V,4,1
907,Everett,149.754,-91.345,F,V,0,4
908,Ewanrigg,-330.86,287.4,M,V,2,1
909,Exedor,-13.198,-207.89,F,V,2,4
910,Exeter,188.432,-8.057,A,V,9,7
911,Fable,193.351,-192.472,K,V,6,1
912,Fadiffolu,-243.532,-242.779,K,V,2,2
913,Fager,91.054,-1591.958,M,V,4,1
914,Fagerholm,-81.951,-363.004,F,V,1,4
915,Fairfax,353.336,31.21,G,V,9,2
916,Fairfield,288.959,45.703,M,V,4,1
917,Faleolo,-188.224,-200.359,F,V,0,4
918,Fallen Stars,-479.141,38.716,F,V,7,3
919,Fallon II,367.83,48.548,F,V,6,2
920,Fallry,587.889,290.107,F,V,7,4
921,False Dawn,632.695,288.309,M,V,2,1
922,Falsterbo (DC),170.86,147.555,K,V,3,2
923,Falsterbo (HL),-771.938,844.05,G,V,0,2
924,Famdo,469.55,-369.433,F,V,6,3
925,Fanardir,-118.034,-398.676,K,V,6,1
926,Far Reach,-216.873,567.699,M,V,5,1
927,Farcry,-485.097,248.963,K,V,6,1
928,Farhome,516.91,-613.715,F,V,7,2
929,Farnsworth,561.438,31.491,G,V,7,3
930,Farstar,412.982,443.519,M,V,2,1
931,Farwell,140.619,-79.668,K,V,4,1
932,Fasa,-144.615,1625.624,G,V,6,1
933,Fathepur,246.783,-259.757,G,V,2,2
934,Fatima,-31.294,175.727,G,V,4,3
935,Fefferfer,17.144,203.222,K,V,0,2
936,Feijo,691.063,250.202,G,V,2,2
937,Fellanin II,132.086,32.779,F,V,3,2
938,Feltre,-20.174,362.104,F,V,4,4
939,Ferihegy,-390.124,161.51,F,V,2,4
940,Ferleiten,25.32,353.837,F,V,4,4
941,Ferranil,121.052,400.59,K,V,6,1
942,Ferrara,272.891,-169.215,M,V,3,1
943,Ferris (OA),583.667,126.868,G,V,6,2
944,Ferris (OC),-55.392,506.363,K,V,1,2
945,Fetsund,446.666,-240.997,F,V,4,4
946,Fianna,-141.443,20.628,K,V,2,2
947,Fieferana,-172.962,-268.848,G,V,1,2
948,Fiery Plains,363.991,-416.321,M,V,5,1
949,Filtvelt,506.643,-181.529,G,III,5,3
950,Fincastle,323.11,-163.191,K,V,9,1
951,Findal,-523.537,258.924,K,V,5,1
952,Finmark,-405.348,332.888,G,V,0,3
953,Finse,531.47,166.883,K,V,3,1
954,Finsterwalde,-289.827,17.796,M,V,2,1
955,Firenze,-401.729,134.377,M,V,8,1
956,Firgrove,249.955,-298.878,F,V,4,5
957,Fjaldr,88.314,-404.57,F,V,8,3
958,Fjernet,-397.004,248.388,M,V,4,1
959,Flannagan's Nebulea,183.34,-393.55,K,V,8,1
960,Flatspin,260.08,-385.927,K,V,9,1
961,Flaum,182.35,-415.472,G,V,0,3
962,Fletcher (CC),46.777,-23.569,G,V,4,7
963,Fletcher (FWL),-67.732,-209.973,G,IV,2,2
964,Fletcher's Feast,677.501,-218.96,F,V,2,4
965,Flintoft,191.536,-333.272,G,V,5,2
966,Florarda,32.033,-256.932,K,V,7,1
967,Florida,-426.806,73.885,M,V,6,1
968,Flushing,195.41,-64.671,G,V,8,2
969,Flychenia,-181.916,-100.888,K,V,7,1
970,Flynn,639.635,174.673,M,V,8,1
971,Fomalhaut,20.928,5.382,A,V,3,3
972,Foochow,88.919,-97.499,F,V,4,4
973,Foot Fall,94.601,-109.868,M,III,9,5
974,Ford,-191.298,-29.514,G,V,5,3
975,Forkas,-211.229,159.967,K,V,7,1
976,Fort Loudon,-32.326,209.081,G,III,6,3
977,Fortymile,193.597,-214.33,K,V,9,1
978,Foster,44.164,1733.181,M,III,9,1
979,Franklin,250.736,10.805,F,V,8,3
980,Frankson,555.124,-193.261,K,V,8,1
981,Franmalin,415.723,-473.186,M,V,5,1
982,Frazer,129.232,-333.467,K,V,9,1
983,Fredotto,-171.593,561.806,F,V,3,3
984,Freedom,-64.275,107.739,M,V,5,6
985,Freisland,234.966,-118.688,F,V,6,3
986,Frobisher,-370.48,-470.316,K,IV,5,2
987,Fronc,-1.121,-517.354,G,V,4,5
988,Frondas,-17.846,-247.735,G,V,3,3
989,Fronde,-5.962,-251.599,G,V,3,3
990,Fröislandis,-1318.131,-642.285,G,V,0,3
991,Fuentes,-72.905,-145.351,M,V,8,1
992,Fugeres,555.362,-213.188,G,V,2,2
993,Fujidera,-76.782,-225.435,K,V,7,1
994,Fukuroi,110.627,134.115,F,V,0,4
995,Furillo,-137.266,78.255,K,V,3,2
996,Furud,-25.337,-284.112,M,V,1,1
997,Futuna,-209.634,-190.845,G,V,4,2
998,Fuveau,440.454,-232.666,K,V,3,2
999,Fylovar,461.378,-489.791,F,V,9,4
1000,Gabenstad,-343.633,404.217,K,V,5,1
1001,Gacrux,-86.503,10.72,M,III,4,3
1002,Gaeri,665.682,220.688,K,V,4,1
1003,Gahral,120.665,-176.543,F,V,0,4
1004,Galatea,-53.775,34.077,F,II,8,6
1005,Galatia III,90.726,14.234,K,V,8,3
1006,Galax,283.632,-124.547,F,III,5,4
1007,Galedon V,331.999,173.891,K,III,5,5
1008,Galicia,-664.451,1143.65,G,V,6,3
1009,Galisteo,-355.928,-71.907,F,V,8,3
1010,Gallatin,-160.771,-74.494,M,V,8,1
1011,Gallery,-198.236,108.266,M,V,5,1
1012,Gallis,-173.659,-380.426,K,V,7,1
1013,Gallitzin,131.569,-163.389,K,V,6,1
1014,Galtor III,194.121,73.107,F,V,8,3
1015,Galuzzo,-15.527,250.954,F,V,7,3
1016,Gambarare,357.235,-269.94,K,V,6,1
1017,Gambier,381.787,-60.022,K,V,2,2
1018,Gambilon,-263.594,-382.84,K,V,5,1
1019,Gamlestolen,601.166,-103.713,M,V,4,1
1020,Gan Singh,41.613,-79.668,F,VII,5,4
1021,Gandy's Luck,250.211,93.012,K,V,3,2
1022,Gangtok,135.199,-472.324,M,V,5,1
1023,Gannett,-165.429,-60.539,G,V,0,3
1024,Ganshoren,-43.428,158.15,K,V,8,1
1025,Gant,311.293,-460.545,G,V,1,4
1026,Gardnaus,118.314,-324.25,K,V,6,1
1027,Garrison,-103.187,180.382,F,V,1,4
1028,Garstedt,126.138,382.004,F,V,0,4
1029,Gatchina,-270.887,-295.212,F,V,7,2
1030,Gatekeeper,-22.586,1779.374,B,III,0,2
1031,Gateway,-720.792,643.114,F,V,6,3
1032,Gatineau,-242.449,296.964,F,V,1,4
1033,Gaul,514.084,-487.592,G,V,8,3
1034,Gei-Fu,57.639,-199.071,F,II,5,3
1035,Geifer,37.535,-186.266,G,V,9,3
1036,Genf,147.002,-123.181,M,V,4,1
1037,Genoa,39.026,-59.756,M,III,9,4
1038,Gettorf,-213.79,-536.114,G,V,8,2
1039,Ghaziabad,-307.668,-237.622,G,V,1,4
1040,Ghorepani,10.056,-406.489,G,V,0,3
1041,Giausar,-207.85,-26.411,M,III,0,3
1042,Gibbs,-201.11,157.892,G,V,9,3
1043,Gibraltar,-359.596,-139.898,K,V,7,1
1044,Gibson,-245.811,-215.127,G,V,2,3
1045,Gienah,-183.072,-12.971,K,IV,0,2
1046,Gillfillan's Gold,-475.372,113.176,G,V,6,3
1047,Gillingham,500.693,-211.461,F,V,6,3
1048,Ginestra,-110.619,163.323,K,V,2,2
1049,Gingeria,-544.585,151.638,F,V,0,4
1050,Girondas,152.918,-421.676,K,V,5,1
1051,Gitarama,676.503,263.403,F,V,0,3
1052,Giverny,623.205,-84.166,F,V,5,3
1053,Givrodat,-187.429,522.375,F,V,0,4
1054,Glabach,108.824,443.254,G,V,5,2
1055,Gladius,-95.911,71.81,K,IV,3,2
1056,Glasgow,28.43,-215.623,M,V,1,1
1057,Glengarry,-76.782,76.984,K,IV,1,3
1058,Glenlivet,14.499,174.54,G,V,4,3
1059,Glenmora,285.367,52.938,G,V,2,3
1060,Glentworth,125.88,-317.712,K,V,6,1
1061,Glevakha,-206.769,-303.733,M,V,8,1
1062,Glitnir,603.107,234.854,F,V,9,4
1063,Glory,99.292,1835.555,G,IV,4,4
1064,Gniezno,-127.55,-22.018,F,V,9,4
1065,Goat Path,-154.338,353.569,G,V,1,3
1066,Goderich,144.496,-49.416,G,V,4,3
1067,Goetville,-261.373,263.876,K,V,5,1
1068,Goito,44.706,332.893,G,V,1,3
1069,Golandrinas,-159.482,400.359,K,V,1,2
1070,Goldlure,269.002,108.124,G,V,4,2
1071,Gomeisa,-49.383,-127.009,G,V,2,2
1072,Goodna,-28.45,-240.2,G,V,7,2
1073,Gorfynt,-233.62,488.928,F,V,8,3
1074,Gorgon,-547.28,267.571,M,V,5,1
1075,Gorki,-15.376,-163.488,F,V,8,2
1076,Goshen,134.673,-94.653,F,V,3,9
1077,Goslar,-662.413,747.821,G,V,9,3
1078,Goth Khakar,-332.448,-244.56,F,V,1,4
1079,Gotterdammerung,-179.596,465.608,M,V,8,1
1080,Goubellat,351.289,165.129,F,V,9,4
1081,Gouderak,-116.865,-354.683,M,V,6,1
1082,Graceland,-100.609,246.035,K,V,6,1
1083,Graham IV,-23.526,-10.386,G,V,2,4
1084,Gram,54.279,144.452,F,V,7,4
1085,Gran,-296.27,-171.177,F,V,3,3
1086,Granada,-674.829,1162.567,G,V,8,4
1087,Grand Base,46.002,-298.878,G,IV,5,4
1088,Granera,-98.239,-330.395,M,V,0,1
1089,Grankum,579.334,274.3,K,V,4,1
1090,Grant's Station,-66.81,1835.346,G,III,6,3
1091,Graus,-100.617,297.223,G,V,4,1
1092,Gravenhage,304.745,425.981,G,V,1,3
1093,Gravensteen,219.606,-133.944,K,V,4,1
1094,Graz,-216.681,126.89,M,V,9,1
1095,Great Gorge,492.678,-266.866,A,V,3,5
1096,Great X,-184.36,287.911,M,V,0,4
1097,Greeley,449.254,40.273,K,V,5,2
1098,Greenlaw,-227.474,159.438,G,V,1,3
1099,Greifswald,-667.432,670.271,G,V,4,3
1100,Greypearl,461.441,254.628,G,V,4,3
1101,Griffith,-333.734,-76.56,M,V,7,1
1102,Grobin,-98.678,-68.207,M,V,7,1
1103,Gronholt,466.046,-261.113,F,V,5,4
1104,Grootfontein,97.358,105.025,K,V,9,1
