,Name,Primary,FactionChange
837,Echo,3,"['(Date=2600-06-25,Faction=DC)', '(Date=2750-03-23,Faction=DC)']"
838,Edasich,3,"['(Date=2171-12-26,Faction=TA)', '(Date=2242-07-10,Faction=IND)', '(Date=2345-10-07,Faction=LA)', '(Date=2571-09-11,Faction=LA)', '(Date=3040-01-19,Faction=FC)', '(Date=3057-09-18,Faction=LA)', '(Date=3140-06-04,Faction=CJF)']"
839,Eden,1,"['(Date=2786-12-23,Faction=SLIE)', '(Date=2802-06-11,Faction=CW,CJF,CHH)', '(Date=2821-12-07,Faction=IND)', '(Date=2822-12-20,Faction=CLAN)', '(Date=3069-11-07,Faction=CW,CSV,CHH)', '(Date=3072-04-01,Faction=CSV,CSA,CCO,CBS,CCC)', '(Date=3073-03-04,Faction=CBS,CSV,CCO)', '(Date=3075-12-23,Faction=CCC,CBS)', '(Date=3085-06-08,Faction=ABN)']"
840,Edirne (Brank 3130+),2,"['(Date=2472-06-17,Faction=RWR)', '(Date=2779-10-15,Faction=PIND)', '(Date=2868-08-28,Faction=ABN)', '(Date=3087-04-05,Faction=RT)']"
841,Edmondson,1,"['(Date=2621-02-16,Faction=FWL)', '(Date=3079-08-14,Faction=DTA)']"
842,Edwards,3,"['(Date=2278-04-13,Faction=Mara)', '(Date=2324-07-03,Faction=FS)', '(Date=3040-01-19,Faction=FC)', '(Date=3067-04-20,Faction=FS)']"
843,Egress,5,"['(Date=2598-09-01,Faction=CC)']"
844,Eguilles,2,"['(Date=2645-04-06,Faction=DC)', '(Date=2900-04-18,Faction=DC)', '(Date=3052-03-01,Faction=CGB)', '(Date=3103-03-13,Faction=RD)']"
845,Eidsfoss,1,"['(Date=2263-10-02,Faction=IND)', '(Date=2341-01-15,Faction=ABN)', '(Date=2596-07-17,Faction=LA)', '(Date=3040-01-19,Faction=FC)', '(Date=3057-09-18,Faction=LA)']"
846,Eigerland,1,"['(Date=2686-09-17,Faction=OA)', '(Date=2921-06-24,Faction=ABN)']"
847,Eilenburg,3,"['(Date=2250-11-19,Faction=IND)', '(Date=2360-02-03,Faction=LA)', '(Date=3040-01-19,Faction=FC)', '(Date=3057-09-18,Faction=LA)', '(Date=3145-09-14,Faction=CWE)']"
848,Eion,1,"['(Date=2688-04-08,Faction=FWL)', '(Date=2861-12-15,Faction=ABN)']"
849,Ejeda,2,"['(Date=2691-06-15,Faction=OA)', '(Date=2805-03-06,Faction=ABN)']"
850,El Dorado,2,"['(Date=2302-11-10,Faction=FS)', '(Date=3040-01-19,Faction=FC)', '(Date=3067-04-20,Faction=FS)']"
851,El Giza,4,"['(Date=2325-05-08,Faction=FWL)', '(Date=2571-10-19,Faction=CC)', '(Date=2790-03-12,Faction=FWL)', '(Date=3079-12-26,Faction=DA)', '(Date=3145-02-19,Faction=OP)']"
852,El Kerak,2,"['(Date=2682-11-05,Faction=FS)', '(Date=2921-03-01,Faction=ABN)']"
853,Elba,1,"['(Date=2706-05-17,Faction=RWR)', '(Date=2779-03-18,Faction=LA)', '(Date=2854-06-18,Faction=ABN)']"
854,Elbar,1,"['(Date=2310-01-06,Faction=IND)', '(Date=2355-09-30,Faction=FS)', '(Date=2767-09-06,Faction=RWR)', '(Date=2779-05-01,Faction=TH)', '(Date=2786-05-01,Faction=FS)', '(Date=2790-08-04,Faction=FS)', '(Date=3040-01-19,Faction=FC)', '(Date=3067-04-20,Faction=FS)']"
855,Elbing (FWL),3,"['(Date=2320-08-25,Faction=FWL)', '(Date=2921-04-02,Faction=ABN)']"
856,Elbing (HL),1,"['(Date=2891-04-26,Faction=HL)']"
857,Electra,4,"['(Date=2509-08-27,Faction=TC)', '(Date=2580-02-23,Faction=SL,TC)', '(Date=2580-11-27,Faction=SL)', '(Date=2596-09-22,Faction=FS)', '(Date=3040-01-19,Faction=FC)', '(Date=3067-01-10,Faction=FS,TC)', '(Date=3067-04-20,Faction=FS)', '(Date=3074-06-01,Faction=TC)']"
858,Elektrougli,4,"['(Date=2268-10-02,Faction=IND)', '(Date=2280-03-05,Faction=FWL)', '(Date=3081-09-30,Faction=IND)', '(Date=3145-10-27,Faction=FWL)']"
859,Eleusis,6,"['(Date=2319-07-03,Faction=IND)', '(Date=2540-02-11,Faction=MOC)', '(Date=2579-04-02,Faction=MOC,SL)', '(Date=2579-09-19,Faction=SL)', '(Date=2597-03-04,Faction=FWL)', '(Date=3081-09-30,Faction=IND)']"
860,Elgin (Chisholm 2878-),2,"['(Date=2231-03-28,Faction=IND)', '(Date=2320-02-15,Faction=TH)', '(Date=2767-10-14,Faction=RWR)', '(Date=2779-10-22,Faction=TH)', '(Date=2790-08-19,Faction=CC)', '(Date=2821-11-10,Faction=CC)', '(Date=3029-11-15,Faction=TFR)', '(Date=3032-07-17,Faction=FC)', '(Date=3057-11-01,Faction=CM)', '(Date=3068-02-01,Faction=WOB)', '(Date=3077-05-21,Faction=Stone)', '(Date=3081-03-11,Faction=ROS)']"
861,Elidere IV,4,"['(Date=2275-10-17,Faction=IND)', '(Date=2345-06-20,Faction=DC)', '(Date=2725-04-24,Faction=FS)', '(Date=2822-02-24,Faction=DC)', '(Date=3012-03-15,Faction=FS)', '(Date=3040-09-30,Faction=DC)', '(Date=3130-04-10,Faction=DC,FS)', '(Date=3145-03-31,Faction=DC)']"
862,Elissa,9,"['(Date=2622-01-11,Faction=RWR)', '(Date=2779-12-20,Faction=PIND)', '(Date=2900-01-17,Faction=PIND)', '(Date=3025-12-08,Faction=EF)', '(Date=3049-09-03,Faction=CW)', '(Date=3071-01-25,Faction=CHH)', '(Date=3100-02-07,Faction=TB)']"
863,Elix,4,"['(Date=2667-02-19,Faction=DC)', '(Date=2924-03-25,Faction=ABN)']"
864,Ellengurg,2,"['(Date=2546-04-17,Faction=LA)', '(Date=3040-01-19,Faction=FC)', '(Date=3057-09-18,Faction=LA)']"
865,Ellijay,2,"['(Date=2630-07-24,Faction=FWL)', '(Date=2821-12-10,Faction=LA)', '(Date=3040-01-19,Faction=FC)', '(Date=3057-09-18,Faction=LA)']"
866,Ellsworth,1,"['(Date=2401-09-03,Faction=FWL)', '(Date=3078-05-01,Faction=PR)', '(Date=3086-02-01,Faction=RF)']"
867,Elnath,1,"['(Date=2618-07-13,Faction=CC)', '(Date=2821-06-09,Faction=FWL)', '(Date=2864-10-07,Faction=CC)', '(Date=3030-02-25,Faction=FS)', '(Date=3040-01-19,Faction=FC)', '(Date=3057-10-01,Faction=CC)', '(Date=3085-04-13,Faction=ROS)', '(Date=3135-03-14,Faction=CC)']"
868,Eltanin,3,"['(Date=2319-11-05,Faction=IND)', '(Date=2350-08-27,Faction=LA)', '(Date=2821-05-21,Faction=DC)', '(Date=2864-08-13,Faction=LA)', '(Date=2900-02-11,Faction=DC)', '(Date=3072-02-01,Faction=WOB)', '(Date=3075-08-27,Faction=CGB,WOB)', '(Date=3075-09-05,Faction=Stone)', '(Date=3081-04-24,Faction=ROS)', '(Date=3135-10-01,Faction=IND)', '(Date=3145-04-10,Faction=RD)']"
869,Elume,3,"['(Date=2518-07-07,Faction=LA)', '(Date=3040-01-19,Faction=FC)', '(Date=3057-09-18,Faction=LA)']"
870,Emar,1,"['(Date=2645-04-05,Faction=DC)', '(Date=2921-09-03,Faction=ABN)']"
871,Emerson,4,"['(Date=2170-03-18,Faction=ME)', '(Date=2319-07-18,Faction=CTL)', '(Date=2350-03-23,Faction=FS)', '(Date=3040-01-19,Faction=FC)', '(Date=3067-04-20,Faction=FS)']"
872,Emporia,1,"['(Date=2655-08-09,Faction=FS)', '(Date=3040-01-19,Faction=FC)', '(Date=3067-04-20,Faction=FS)']"
873,Emris IV,4,"['(Date=2264-04-11,Faction=IND)', '(Date=2280-02-02,Faction=FWL)', '(Date=3014-04-15,Faction=FWL,FWLR)', '(Date=3014-05-07,Faction=FWLR)', '(Date=3015-02-03,Faction=FWLR,FWL)', '(Date=3015-02-06,Faction=FWLR)', '(Date=3015-03-15,Faction=FWL)', '(Date=3079-06-06,Faction=TP)', '(Date=3130-07-13,Faction=OP)']"
874,Enchi,1,"['(Date=2240-08-15,Faction=UHC)', '(Date=2540-09-01,Faction=FS)', '(Date=3040-01-19,Faction=FC)', '(Date=3067-04-20,Faction=FS)']"
875,Enders Cluster (10),2,"['(Date=2698-03-14,Faction=RWR)', '(Date=2779-12-04,Faction=LA)', '(Date=3040-01-19,Faction=FC)', '(Date=3057-09-18,Faction=LA)']"
876,Engadin,2,"['(Date=2564-11-05,Faction=DC)', '(Date=3030-06-28,Faction=LA)', '(Date=3034-03-13,Faction=FRR)', '(Date=3050-08-06,Faction=CW,FRR)', '(Date=3050-08-27,Faction=CW)', '(Date=3062-11-11,Faction=CHH)', '(Date=3065-05-20,Faction=CGB)', '(Date=3103-03-13,Faction=RD)']"
877,Engadine,6,"['(Date=2643-03-18,Faction=RWR)', '(Date=2779-08-18,Faction=LA)', '(Date=3040-01-19,Faction=FC)', '(Date=3057-09-18,Faction=LA)', '(Date=3087-06-01,Faction=RT)']"
878,Enif,4,"['(Date=2600-11-06,Faction=DC)', '(Date=2750-03-29,Faction=DC)', '(Date=3120-08-30,Faction=PIND)']"
879,Enkoping,1,"['(Date=2272-03-25,Faction=IND)', '(Date=2345-06-22,Faction=LA)', '(Date=3040-01-19,Faction=FC)', '(Date=3057-09-18,Faction=LA)']"
880,Enkra,1,"['(Date=2630-06-26,Faction=CC)', '(Date=2814-02-30,Faction=PIND)', '(Date=2997-01-01,Faction=ARC)', '(Date=3022-01-01,Faction=ARD)', '(Date=3026-01-01,Faction=ARC)']"
881,Entalun,4,"['(Date=2678-02-21,Faction=FS)', '(Date=2921-06-17,Faction=ABN)']"
882,Enzesfled,1,"['(Date=2382-02-21,Faction=LA)', '(Date=3040-01-19,Faction=FC)', '(Date=3057-09-18,Faction=LA)']"
883,Eom,3,"['(Date=2270-04-20,Faction=CH)', '(Date=2310-06-30,Faction=CCom)', '(Date=2367-08-01,Faction=CC)']"
884,Epsilon,1,"['(Date=2523-09-19,Faction=FWL)', '(Date=2900-04-18,Faction=FWL)', '(Date=3079-12-20,Faction=DTA)', '(Date=3079-10-01,Faction=LA)', '(Date=3145-02-12,Faction=DTA)']"
885,Epsilon Eridani,4,"['(Date=2254-06-23,Faction=TA)', '(Date=2316-10-19,Faction=TH)', '(Date=2317-08-30,Faction=TH)', '(Date=2767-01-01,Faction=RWR)', '(Date=2779-03-31,Faction=TH)', '(Date=2790-04-01,Faction=CC)', '(Date=2821-12-02,Faction=CC)', '(Date=3029-12-05,Faction=TFR)', '(Date=3032-01-15,Faction=FC)', '(Date=3057-11-01,Faction=CM)', '(Date=3066-02-01,Faction=CM,WOB)', '(Date=3068-08-01,Faction=WOB)', '(Date=3078-02-24,Faction=Stone,WOB)', '(Date=3078-02-26,Faction=Stone)', '(Date=3081-01-24,Faction=ROS)']"
886,Epsilon Indi,1,"['(Date=2258-10-05,Faction=IND)', '(Date=2316-12-26,Faction=TH)', '(Date=2767-06-01,Faction=RWR)', '(Date=2779-07-08,Faction=TH)', '(Date=2790-03-07,Faction=CC)', '(Date=2821-05-16,Faction=CC)', '(Date=3029-08-09,Faction=TFR)', '(Date=3032-12-16,Faction=FC)', '(Date=3057-11-01,Faction=CM)', '(Date=3067-12-30,Faction=WOB)', '(Date=3078-02-24,Faction=Stone,DC,WOB)', '(Date=3078-02-26,Faction=Stone)', '(Date=3081-09-20,Faction=ROS)']"
887,Erdvynn,1,"['(Date=2675-02-28,Faction=RWR)', '(Date=2779-09-15,Faction=PIND)', '(Date=2831-08-02,Faction=ABN)']"
888,Erewhon,5,"['(Date=2722-06-14,Faction=RWR)', '(Date=2775-09-27,Faction=PIND)', '(Date=3021-08-17,Faction=MV)', '(Date=3025-12-27,Faction=MV)', '(Date=3028-05-16,Faction=GV)', '(Date=3049-09-13,Faction=CJF)', '(Date=3071-06-05,Faction=CIH)', '(Date=3071-09-18,Faction=CJF)']"
889,Erod's Escape,5,"['(Date=3028-01-27,Faction=TC)', '(Date=3066-08-01,Faction=CDP)']"
890,Eromanga,4,"['(Date=2213-06-14,Faction=IND)', '(Date=2355-01-29,Faction=FWL)', '(Date=3081-05-04,Faction=IND)', '(Date=3145-04-03,Faction=FWL)']"
891,Errai,2,"['(Date=2242-04-06,Faction=IND)', '(Date=2316-03-15,Faction=TH)', '(Date=2767-01-07,Faction=RWR)', '(Date=2779-09-29,Faction=TH)', '(Date=2790-09-17,Faction=FS)', '(Date=2821-03-08,Faction=DC)', '(Date=2864-03-09,Faction=FS)', '(Date=3040-01-19,Faction=FC)', '(Date=3067-04-20,Faction=FS)', '(Date=3069-10-01,Faction=FS,WOB)', '(Date=3070-04-01,Faction=WOB)', '(Date=3077-02-12,Faction=Stone,WOB)', '(Date=3077-04-18,Faction=Stone)', '(Date=3081-10-30,Faction=ROS)', '(Date=3135-10-01,Faction=IND)', '(Date=3145-06-03,Faction=DC)']"
892,Eschenberg,3,"['(Date=2329-05-19,Faction=LA)', '(Date=2924-08-30,Faction=ABN)']"
893,Escobas,4,"['(Date=2741-04-29,Faction=FWL)', '(Date=3079-01-05,Faction=DGM)', '(Date=3120-03-26,Faction=MSC)', '(Date=3145-11-12,Faction=FWL)']"
894,Espakeh,2,"['(Date=2440-10-31,Faction=DC)']"
895,Espia,1,"['(Date=2641-09-13,Faction=CC)', '(Date=2923-09-23,Faction=ABN)']"
896,Esteros,1,"['(Date=2619-02-19,Faction=LA)', '(Date=3040-01-19,Faction=FC)', '(Date=3057-12-01,Faction=ARDC)', '(Date=3067-04-24,Faction=LA)', '(Date=3145-02-10,Faction=CJF)']"
897,Estuan,2,"['(Date=2381-09-20,Faction=TC)', '(Date=2578-11-09,Faction=SL,TC)', '(Date=2579-04-01,Faction=SL)', '(Date=2596-09-22,Faction=FS)', '(Date=3040-01-19,Faction=FC)', '(Date=3067-04-20,Faction=FS)', '(Date=3120-07-20,Faction=PIND)']"
898,Esztergom,4,"['(Date=2712-11-17,Faction=FWL)', '(Date=2923-03-19,Faction=ABN)']"
899,Etiler,4,"['(Date=2486-10-03,Faction=LA)', '(Date=3040-01-19,Faction=FC)', '(Date=3057-09-18,Faction=LA)']"
900,Euclid,2,"['(Date=2667-10-26,Faction=FS)', '(Date=3040-01-19,Faction=FC)', '(Date=3067-04-20,Faction=FS)']"
901,Euschelus,1,"['(Date=2637-12-29,Faction=TC)', '(Date=3120-10-20,Faction=PIND)']"
902,Eustatius,4,"['(Date=2355-10-18,Faction=FS)', '(Date=3040-01-19,Faction=FC)', '(Date=3067-04-20,Faction=FS)', '(Date=3072-02-20,Faction=FVC)', '(Date=3100-03-04,Faction=FS)']"
903,Eutin,3,"['(Date=2314-01-10,Faction=PD)', '(Date=2341-07-25,Faction=LA)', '(Date=3040-01-19,Faction=FC)', '(Date=3057-09-18,Faction=LA)']"
904,Evansville,2,"['(Date=2272-12-22,Faction=IND)', '(Date=2345-08-28,Faction=FS)', '(Date=3040-01-19,Faction=FC)', '(Date=3067-04-20,Faction=FS)']"
905,Evciler,1,"['(Date=2650-07-14,Faction=LA)', '(Date=2750-07-09,Faction=LA)', '(Date=3040-01-19,Faction=FC)', '(Date=3050-05-09,Faction=CJF)', '(Date=3071-08-06,Faction=CIH)', '(Date=3072-02-10,Faction=CJF,CIH)', '(Date=3072-02-24,Faction=CJF)', '(Date=3110-10-05,Faction=CHH)']"
906,Everett,4,"['(Date=2735-11-08,Faction=FS)', '(Date=2821-11-22,Faction=CC)', '(Date=2839-09-25,Faction=ABN)']"
907,Ewanrigg,1,"['(Date=2736-09-12,Faction=LA)', '(Date=3040-01-19,Faction=FC)', '(Date=3057-09-18,Faction=LA)']"
908,Exedor,4,"['(Date=2692-06-20,Faction=CC)', '(Date=2850-04-15,Faction=CC)']"
909,Exeter,7,"['(Date=2301-10-27,Faction=IND)', '(Date=2355-06-24,Faction=FS)', '(Date=3040-01-19,Faction=FC)', '(Date=3067-04-20,Faction=FS)']"
910,Fable,1,"['(Date=2767-09-05,Faction=FS)', '(Date=2923-05-11,Faction=ABN)']"
911,Fadiffolu,2,"['(Date=2479-09-29,Faction=FWL)', '(Date=3014-03-22,Faction=FWLR)', '(Date=3015-03-15,Faction=FWL)', '(Date=3081-07-14,Faction=IND)']"
912,Fager,1,"['(Date=3095-03-11,Faction=IE)']"
913,Fagerholm,4,"['(Date=2689-05-16,Faction=CC)', '(Date=2821-11-13,Faction=FWL)', '(Date=3081-11-19,Faction=IND)', '(Date=3130-04-27,Faction=DA)']"
914,Fairfax,2,"['(Date=2300-05-08,Faction=IND)', '(Date=2360-04-13,Faction=FS)', '(Date=3040-01-19,Faction=FC)', '(Date=3067-04-20,Faction=FS)', '(Date=3145-11-06,Faction=DC)']"
915,Fairfield,1,"['(Date=2296-06-13,Faction=IND)', '(Date=2360-04-16,Faction=FS)', '(Date=3040-01-19,Faction=FC)', '(Date=3067-04-20,Faction=FS)', '(Date=3145-09-01,Faction=DC)']"
916,Faleolo,4,"['(Date=2247-08-19,Faction=PR)', '(Date=2271-06-01,Faction=FWL)', '(Date=3078-05-01,Faction=PR)', '(Date=3086-02-01,Faction=RF)']"
917,Fallen Stars,3,"['(Date=2597-09-11,Faction=RWR)', '(Date=2779-06-09,Faction=PIND)', '(Date=2883-02-26,Faction=ABN)']"
918,Fallon II,2,"['(Date=2272-08-09,Faction=IND)', '(Date=2360-09-25,Faction=FS)', '(Date=3040-01-19,Faction=FC)', '(Date=3067-04-20,Faction=FS)', '(Date=3145-05-05,Faction=DC)']"
919,Fallry,4,"['(Date=2635-03-13,Faction=OA)', '(Date=2864-07-04,Faction=PIND)', '(Date=3003-05-05,Faction=ABN)']"
920,False Dawn,1,"['(Date=2598-01-06,Faction=OA)', '(Date=2810-09-25,Faction=ABN)']"
921,Falsterbo (DC),2,"['(Date=2274-08-19,Faction=IND)', '(Date=2321-02-03,Faction=DC)']"
922,Falsterbo (HL),2,"['(Date=2891-07-03,Faction=HL)', '(Date=2891-05-14,Faction=HL)']"
923,Famdo,3,"['(Date=2607-09-05,Faction=TC)', '(Date=2924-10-08,Faction=ABN)']"
924,Fanardir,1,"['(Date=2344-09-29,Faction=IND)', '(Date=2540-01-22,Faction=MOC)', '(Date=2581-03-10,Faction=MOC,SL)', '(Date=2581-03-22,Faction=SL)', '(Date=2597-03-21,Faction=MOC)']"
925,Far Reach,1,"['(Date=2650-09-22,Faction=RWR)', '(Date=2779-08-01,Faction=PIND)', '(Date=2864-05-11,Faction=CI)']"
926,Farcry,1,"['(Date=2688-02-27,Faction=RWR)', '(Date=2779-08-31,Faction=PIND)', '(Date=2874-06-03,Faction=ABN)']"
927,Farhome,2,"['(Date=2270-04-04,Faction=PIND)', '(Date=3130-01-28,Faction=ABN)']"
928,Farnsworth,3,"['(Date=2370-11-30,Faction=FS)', '(Date=3040-01-19,Faction=FC)', '(Date=3067-04-20,Faction=FS)']"
929,Farstar,1,"['(Date=2900-06-09,Faction=PIND)', '(Date=3025-07-23,Faction=IND)', '(Date=3063-10-10,Faction=CSR)', '(Date=3075-06-28,Faction=OA)', '(Date=3083-11-19,Faction=RA)', '(Date=3120-11-06,Faction=PIND)']"
930,Farwell,1,"['(Date=2278-07-14,Faction=Mara)', '(Date=2324-06-05,Faction=FS)', '(Date=2821-09-13,Faction=CC)', '(Date=2864-09-08,Faction=FS)', '(Date=3040-01-19,Faction=FC)', '(Date=3067-04-20,Faction=FS)']"
931,Fasa,1,"['(Date=2821-06-18,Faction=PIND)', '(Date=2822-10-13,Faction=ABN)']"
932,Fathepur,2,"['(Date=2676-07-29,Faction=FS)', '(Date=2924-08-11,Faction=ABN)']"
933,Fatima,3,"['(Date=2171-09-04,Faction=TA)', '(Date=2235-09-11,Faction=TamP)', '(Date=2341-08-10,Faction=LA)', '(Date=2571-05-02,Faction=ABN)', '(Date=2711-12-23,Faction=LA)', '(Date=3040-01-19,Faction=FC)', '(Date=3057-09-18,Faction=LA)', '(Date=3130-10-05,Faction=CW)', '(Date=3140-01-17,Faction=CJF)']"
934,Fefferfer,2,"['(Date=2735-12-04,Faction=LA)', '(Date=2830-10-11,Faction=ABN)']"
935,Feijo,2,"['(Date=2625-04-05,Faction=OA)', '(Date=2864-08-13,Faction=PIND)', '(Date=2925-07-09,Faction=ABN)']"
936,Fellanin II,2,"['(Date=2300-04-27,Faction=IND)', '(Date=2340-10-17,Faction=DC)', '(Date=3081-07-30,Faction=ROS)', '(Date=3135-10-01,Faction=IND)', '(Date=3145-01-16,Faction=DC)']"
937,Feltre,4,"['(Date=2610-02-14,Faction=LA)', '(Date=2821-07-09,Faction=DC)', '(Date=2900-04-02,Faction=DC)', '(Date=3030-02-19,Faction=LA)', '(Date=3034-03-13,Faction=FRR)', '(Date=3050-07-04,Faction=CW,FRR)', '(Date=3050-08-13,Faction=CW)', '(Date=3071-07-06,Faction=CHH)', '(Date=3071-11-18,Faction=CW)', '(Date=3140-08-10,Faction=CHH)']"
938,Ferihegy,4,"['(Date=2565-06-18,Faction=LA)', '(Date=3040-01-19,Faction=FC)', '(Date=3057-09-18,Faction=LA)']"
939,Ferleiten,4,"['(Date=2715-11-08,Faction=DC)', '(Date=3034-03-13,Faction=FRR)', '(Date=3050-08-03,Faction=CW)', '(Date=3130-12-09,Faction=RD)']"
940,Ferranil,1,"['(Date=2341-10-01,Faction=DC)', '(Date=2924-10-21,Faction=ABN)']"
941,Ferrara,1,"['(Date=2630-06-20,Faction=FS)', '(Date=2924-10-10,Faction=ABN)']"
942,Ferris (OA),2,"['(Date=2439-05-23,Faction=OA)', '(Date=3083-11-09,Faction=RA)', '(Date=3084-02-01,Faction=PIND)']"
943,Ferris (OC),2,"['(Date=2779-06-01,Faction=PIND)', '(Date=3012-09-23,Faction=OC)', '(Date=3025-08-16,Faction=OC)', '(Date=3049-08-01,Faction=CW,OC)', '(Date=3049-08-07,Faction=CW)', '(Date=3071-01-25,Faction=CHH)', '(Date=3100-02-07,Faction=TB)']"
944,Fetsund,4,"['(Date=2360-06-29,Faction=FS)', '(Date=3040-01-19,Faction=FC)', '(Date=3067-04-20,Faction=FS)']"
945,Fianna,2,"['(Date=2258-09-16,Faction=IND)', '(Date=2299-07-12,Faction=FoS)', '(Date=2341-11-25,Faction=LA)', '(Date=3040-01-19,Faction=FC)', '(Date=3057-09-18,Faction=LA)', '(Date=3145-12-27,Faction=CWE)']"
946,Fieferana,2,"['(Date=2348-11-15,Faction=FWL)', '(Date=3081-03-02,Faction=IND)']"
947,Fiery Plains,1,"['(Date=2618-03-22,Faction=TC)', '(Date=2922-03-20,Faction=ABN)']"
948,Filtvelt,3,"['(Date=2360-10-31,Faction=FS)', '(Date=3040-01-19,Faction=FC)', '(Date=3067-04-20,Faction=FS)', '(Date=3072-02-20,Faction=FVC)']"
949,Fincastle,1,"['(Date=2297-05-03,Faction=IND)', '(Date=2330-01-26,Faction=FS)', '(Date=3040-01-19,Faction=FC)', '(Date=3067-04-20,Faction=FS)']"
950,Findal,1,"['(Date=2614-08-24,Faction=RWR)', '(Date=2779-06-12,Faction=PIND)', '(Date=2872-05-09,Faction=ABN)']"
951,Finmark,3,"['(Date=2546-04-26,Faction=RWR)', '(Date=2779-08-27,Faction=PIND)', '(Date=2831-07-28,Faction=ABN)']"
952,Finse,1,"['(Date=2736-02-13,Faction=OA)', '(Date=2925-06-08,Faction=ABN)']"
953,Finsterwalde,1,"['(Date=2719-02-13,Faction=FWL)', '(Date=2821-04-25,Faction=LA)', '(Date=3040-01-19,Faction=FC)', '(Date=3057-09-18,Faction=LA)']"
954,Firenze,1,"['(Date=2750-03-31,Faction=LA)', '(Date=3040-01-19,Faction=FC)', '(Date=3057-09-18,Faction=LA)']"
955,Firgrove,5,"['(Date=2350-08-20,Faction=FS)', '(Date=3040-01-19,Faction=FC)', '(Date=3067-04-20,Faction=FS)']"
956,Fjaldr,3,"['(Date=2686-12-07,Faction=CC)', '(Date=2814-02-30,Faction=PIND)', '(Date=2978-01-01,Faction=ARC)', '(Date=3022-01-01,Faction=ARD)', '(Date=3026-01-01,Faction=ARC)']"
957,Fjernet,1,"['(Date=2372-10-10,Faction=RWR)', '(Date=2775-12-01,Faction=LA)', '(Date=2840-07-05,Faction=ABN)']"
958,Flannagan's Nebulea,1,"['(Date=2596-08-09,Faction=SL)', '(Date=2597-03-21,Faction=TC)']"
959,Flatspin,1,"['(Date=2607-06-28,Faction=TC)', '(Date=2923-03-28,Faction=ABN)']"
960,Flaum,3,"['(Date=2699-04-10,Faction=TC)', '(Date=3120-01-15,Faction=PIND)']"
961,Fletcher (CC),7,"['(Date=2264-06-21,Faction=IND)', '(Date=2320-03-28,Faction=TH)', '(Date=2767-12-05,Faction=RWR)', '(Date=2779-09-06,Faction=TH)', '(Date=2786-03-07,Faction=CC)', '(Date=3029-01-09,Faction=TFR)', '(Date=3032-10-31,Faction=FS)', '(Date=3040-01-19,Faction=FC)', '(Date=3057-11-01,Faction=CM)', '(Date=3067-12-30,Faction=WOB)', '(Date=3077-11-24,Faction=Stone,CS,WOB)', '(Date=3077-11-26,Faction=Stone)', '(Date=3081-10-16,Faction=ROS)', '(Date=3135-10-01,Faction=IND)', '(Date=3145-04-27,Faction=CC)']"
962,Fletcher (FWL),2,"['(Date=2241-04-29,Faction=DO)', '(Date=2271-06-01,Faction=FWL)', '(Date=3079-06-19,Faction=DO)', '(Date=3086-07-03,Faction=OP)']"
963,Fletcher's Feast,4,"['(Date=2600-01-16,Faction=TD)', '(Date=2750-11-23,Faction=TD)']"
964,Flintoft,2,"['(Date=2342-05-12,Faction=TC)', '(Date=2581-03-15,Faction=SL,TC)', '(Date=2582-06-01,Faction=SL)', '(Date=2596-09-22,Faction=FS)', '(Date=3040-01-19,Faction=FC)', '(Date=3067-04-20,Faction=FS)', '(Date=3075-05-03,Faction=TC)', '(Date=3080-05-05,Faction=FS)']"
965,Florarda,1,"['(Date=2608-04-28,Faction=CC)', '(Date=2923-11-08,Faction=ABN)']"
966,Florida,1,"['(Date=2656-01-20,Faction=RWR)', '(Date=2779-04-07,Faction=LA)', '(Date=3040-01-19,Faction=FC)', '(Date=3057-09-18,Faction=LA)']"
967,Flushing,2,"['(Date=2276-08-29,Faction=IND)', '(Date=2340-11-03,Faction=FS)', '(Date=3040-01-19,Faction=FC)', '(Date=3067-04-20,Faction=FS)']"
968,Flychenia,1,"['(Date=2600-12-23,Faction=FWL)', '(Date=2832-04-09,Faction=ABN)']"
969,Flynn,1,"['(Date=2718-01-17,Faction=OA)', '(Date=2861-03-05,Faction=ABN)']"
970,Fomalhaut,3,"['(Date=2264-04-30,Faction=TA)', '(Date=2316-04-23,Faction=TH)', '(Date=2317-12-01,Faction=TH)', '(Date=2767-08-02,Faction=RWR)', '(Date=2779-03-16,Faction=TH)', '(Date=2790-11-16,Faction=FS)', '(Date=2821-01-20,Faction=DC)', '(Date=2860-10-03,Faction=CC)', '(Date=2950-02-19,Faction=FS)', '(Date=3040-09-15,Faction=DC)', '(Date=3068-06-18,Faction=DC,WOB)', '(Date=3068-07-05,Faction=WOB)', '(Date=3077-11-10,Faction=Stone,DC,WOB)', '(Date=3078-04-07,Faction=Stone)', '(Date=3081-04-23,Faction=ROS)']"
971,Foochow,4,"['(Date=2176-02-16,Faction=SSUP)', '(Date=2367-08-01,Faction=CC)', '(Date=3030-02-05,Faction=FS)', '(Date=3040-01-19,Faction=FC)', '(Date=3057-11-01,Faction=CM)', '(Date=3062-03-24,Faction=CC)', '(Date=3085-05-04,Faction=ROS)', '(Date=3135-12-08,Faction=CC)']"
